,wordscore,matching_terms,mode_words,research,solution,tech,_doi,_title
3,5,"[('behavior', 1), ('social', 1), ('information', 1)]","[('the', 8), ('of', 6), ('recycling', 5), ('and', 5)]","[('review', 1), ('meta-analysis', 1), ('research', 1), ('article', 1)]","[('intervention', 1)]","[('social', 1)]",10.1016/j.jenvp.2017.03.011,Psychological strategies to promote household recycling. A systematic review with meta-analysis of validated field interventions
4,5,"[('social', 1), ('information', 1)]","[('the', 11), ('a', 10), ('of', 7), ('feedback', 7)]","[('suggest', 1), ('study', 1)]","[('increase', 1), ('decrease', 1)]","[('social', 1)]",10.1016/j.jenvp.2016.07.004,Increasing recycling through displaying feedback and social comparative feedback
5,5,"[('behavior', 1), ('information', 1), ('belief', 1), ('human', 1)]","[('the', 19), ('and', 16), ('of', 13), ('to', 8)]","[('impact', 1), ('study', 1), ('measure', 1), ('found', 1)]",[],"[('data', 1)]",10.3390/su13010018,Moving Beyond the One-Size-Fits-All Model in Describing the Climate Conserving Behaviors of Malaysian Secondary Students
6,4,"[('social', 1), ('information', 1)]","[('the', 16), ('and', 8), ('on', 7), ('of', 5)]","[('impact', 1), ('study', 1), ('research', 1), ('survey', 1)]",[],"[('data', 1), ('social', 1)]",10.1108/ijlm-11-2019-0305,Do e-commerce customers change their preferred last-mile delivery based on its sustainability impact?
9,3,"[('information', 1), ('false', 1), ('social', 1), ('behavior', 1)]","[('to', 8), ('single-use', 5), ('plastic', 5), ('and', 5)]","[('study', 1), ('controlled', 1), ('research', 1), ('experiment', 1)]",[],"[('social', 1)]",10.3389/fpsyg.2021.612662,Social Comparison Information Influences Intentions to Reduce Single-Use Plastic Water Bottle Consumption
14,3,"[('design', 1), ('social', 1)]","[('and', 18), ('the', 18), ('a', 7), ('in', 7)]","[('study', 1), ('positive', 1), ('assessment', 1), ('analyzed', 1)]",[],"[('social', 1)]",10.3389/fevo.2021.612789,Local Perception in Forest Landscape Restoration Planning: A Case Study From the Brazilian Atlantic Forest
15,4,"[('trust', 1), ('social', 1)]","[('the', 19), ('to', 11), ('of', 9), ('and', 8)]","[('impact', 1), ('overall', 1)]","[('increase', 1)]","[('social', 1)]",10.1080/1354983052000330761,Who changes consumption following residential energy evaluations? local programs need all income groups to achieve kyoto targets
19,3,"[('behavior', 1), ('information', 1)]","[('the', 8), ('that', 5), ('conservation', 5), ('strategies', 4)]","[('impact', 1), ('study', 1), ('field', 1), ('meta-analysis', 1)]","[('increase', 1)]",[],10.1016/j.enpol.2013.05.109,Information strategies and energy conservation behavior: A meta-analysis of experimental studies from 1975 to 2012
20,7,"[('design', 1), ('boosting', 1), ('social', 1), ('behavior', 1)]","[('the', 8), ('of', 6), ('and', 6), ('recycling', 4)]","[('research', 1), ('recent', 1), ('trial', 1)]",[],"[('channel', 1), ('social', 1), ('channels', 1)]",10.1080/15245004.1997.9960986,Facilitating Recycling: Reverse—Distribution Channel Design for Participation and Support
22,4,"[('design', 1), ('social', 1), ('experience', 1)]","[('the', 5), ('and', 4), ('of', 3), ('this', 2)]","[('article', 1), ('framework', 1)]",[],"[('social', 1)]",10.1007/bf02737078,"A framework for the conceptualization, design, and strategic management of planned change systems"
23,5,"[('prosocial', 1), ('behavior', 1), ('social', 1)]","[('to', 7), ('of', 7), ('and', 6), ('the', 5)]","[('recent', 1), ('positive', 1), ('review', 1), ('research', 1)]",[],"[('social', 1), ('community', 1)]",10.1177/104973159300300405,Behavior Analysis and Community Practice
25,5,"[('users', 1), ('social', 1), ('behavior', 1), ('information', 1)]","[('the', 10), ('to', 8), ('on', 7), ('communication', 6)]","[('study', 1), ('field', 1)]",[],"[('social', 1)]",10.1016/j.wasman.2014.01.006,"The comparative effectiveness of persuasion, commitment and leader block strategies in motivating sorting"
27,4,"[('accuracy', 1), ('social', 1)]","[('the', 24), ('to', 14), ('of', 13), ('and', 12)]","[('model', 1), ('regression', 1), ('study', 1), ('framework', 1)]",[],"[('data', 1), ('social', 1)]",10.1002/nvsm.280,The nature and influence of motivation within the MOA framework: implications for social marketing
29,5,"[('design', 1), ('user', 1)]","[('to', 6), ('the', 6), ('signs', 6), ('in', 5)]","[('research', 1), ('study', 1), ('follow-up', 1)]","[('finding', 1), ('increase', 1)]","[('user', 1)]",10.1016/j.apergo.2011.09.008,Please turn off the lights: The effectiveness of visual prompts
31,6,"[('interface', 1), ('behavior', 1), ('user', 1)]","[('the', 16), ('of', 8), ('to', 7), ('energy', 7)]","[('field', 1), ('research', 1), ('theoretical', 1), ('intervention', 1)]","[('intervention', 1)]","[('data', 1), ('user', 1)]",10.3390/su10061744,A Smartphone Application for Personalized and Multi-Method Interventions toward Energy Saving in Buildings
32,2,"[('behavior', 1)]","[('the', 6), ('of', 6), ('and', 5), ('behavior', 4)]","[('research', 1), ('intervention', 1), ('analysis', 1)]","[('intervention', 1)]",[],10.5210/bsi.v13i1.33,Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
34,2,"[('behavior', 1)]","[('the', 6), ('of', 6), ('and', 5), ('behavior', 4)]","[('research', 1), ('intervention', 1), ('analysis', 1)]","[('intervention', 1)]",[],10.5210/bsi.v13i1.33,Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
35,3,"[('attitudinal', 1), ('behavior', 1)]","[('and', 9), ('the', 7), ('in', 6), ('were', 5)]","[('overall', 1), ('found', 1), ('positive', 1)]",[],"[('data', 1)]",10.5467/jkess.2007.28.5.635,"An Application of Affective-Cognitive Ambivalence Theory in Environmental Risk Attitude: The Case Study of Marion County, Ohio in the U.S."
38,2,"[('design', 1), ('experience', 1)]","[('the', 10), ('energy', 7), ('eco-driving', 6), ('consumption', 6)]","[('study', 1), ('field', 1), ('found', 1), ('research', 1)]","[('intervention', 1)]","[('web', 1), ('data', 1)]",10.1016/j.erss.2019.101407,"Can electric vehicle drivers be persuaded to eco-drive? A field study of feedback, gamification and financial rewards in Germany"
40,3,"[('social', 1), ('information', 1)]","[('coaching', 8), ('a', 5), ('the', 5), ('in', 5)]","[('research', 1), ('study', 1)]",[],"[('social', 1)]",10.1037/cpb0000046,"IDENTITY CONSTRUCTION IN COACHING: SCHEMAS, INFORMATION PROCESSING, AND GOAL COMMITMENT"
42,5,"[('behavior', 1), ('user', 1), ('users', 1)]","[('to', 7), ('the', 6), ('of', 5), ('in', 4)]","[('overall', 1), ('control', 1)]","[('increase', 1)]","[('user', 1)]",10.1080/01490408309513014,Increasing public involvement to reduce depreciative behavior in recreation settings
48,4,"[('attitudinal', 1), ('behavior', 1), ('media', 1)]","[('of', 9), ('energy', 8), ('the', 7), ('in', 4)]","[('impact', 1), ('research', 1)]",[],"[('media', 1)]",10.1080/00958964.1987.9942737,Communication and Energy Conservation
49,4,[],"[('and', 16), ('the', 13), ('gravel', 11), ('of', 9)]","[('found', 1), ('study', 1), ('functional', 1)]","[('increase', 1), ('decrease', 1)]","[('community', 1), ('content', 1)]",10.1016/j.catena.2021.105933,Top-down degradation of alpine meadow in the Qinghai-Tibetan Plateau: Gravelization initiate hillside surface aridity and meadow community disappearance
50,2,"[('behavior', 1)]","[('the', 6), ('of', 6), ('and', 5), ('behavior', 4)]","[('research', 1), ('intervention', 1), ('analysis', 1)]","[('intervention', 1)]",[],10.5210/bsi.v13i1.33,Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
51,6,"[('design', 1), ('attitudinal', 1), ('behavior', 1), ('social', 1)]","[('and', 13), ('of', 6), ('environmental', 6), ('the', 5)]","[('model', 1), ('study', 1), ('research', 1), ('intervention', 1)]","[('intervention', 1)]","[('social', 1)]",10.1111/j.1540-4560.1989.tb01531.x,Applied Behavior Analysis and Social Marketing: An Integration for Environmental Preservation
52,4,"[('design', 1), ('behavior', 1)]","[('use', 6), ('energy', 6), ('of', 5), ('for', 5)]","[('study', 1), ('functional', 1), ('pattern', 1), ('research', 1)]","[('increase', 1), ('intervention', 1)]",[],10.1002/bin.1463,Examination of a Multi‐Element Intervention on College Students&#x27; Electricity Consumption in On‐Campus Housing
53,2,"[('information', 1)]","[('information', 13), ('the', 10), ('of', 7), ('and', 7)]","[('study', 1), ('field', 1), ('controlled', 1), ('tested', 1)]","[('intervention', 1)]",[],10.1016/j.scs.2020.102344,Evaluating the effect of eight customized information strategies on urban households’ electricity saving: A field experiment in China
55,3,"[('behavior', 1)]","[('the', 12), ('interventions', 7), ('behavior', 7), ('of', 6)]","[('review', 1), ('research', 1), ('article', 1), ('intervention', 1)]","[('finding', 1), ('intervention', 1)]",[],10.1177/0013916595272002,Solid Waste Recovery
56,3,"[('behavior', 1), ('social', 1)]","[('in', 6), ('a', 5), ('attitude', 5), ('attitude-relevant', 5)]","[('found', 1), ('research', 1), ('experiment', 1)]",[],"[('social', 1)]",10.1080/00224545.2014.959884,The Campbell Paradigm as a Conceptual Alternative to the Expectation of Hypocrisy in Contemporary Attitude Research
